epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.735,0.94217,0.90735,0.62043,0.87518,0.67433,0.58817,0.609,0.3734,0.68206,0.58375,0.61333,0.29221,1.19428,0.95752,0.97603,1.04884,0.000650407,0.000650407,0.000650407
2,72.3325,0.96767,0.92489,0.63402,0.88031,0.68013,0.5668,0.6024,0.37172,0.67845,0.56035,0.60075,0.28851,1.22434,0.95809,1.01996,1.04312,0.00130077,0.00130077,0.00130077
3,102.213,1.01943,0.94822,0.67524,0.89458,0.65623,0.57439,0.58791,0.35359,0.65403,0.57163,0.58465,0.27344,1.27562,0.96706,0.98999,1.06664,0.00193464,0.00193464,0.00193464
4,131.968,1.05485,0.95614,0.7147,0.90156,0.65009,0.56772,0.57969,0.35624,0.66501,0.57619,0.59512,0.2875,1.24786,0.96117,1.04201,1.05798,0.00192575,0.00192575,0.00192575
5,161.203,1.06703,0.97048,0.72649,0.90767,0.6476,0.56329,0.58227,0.3521,0.65821,0.56569,0.59301,0.28232,1.27896,1.01313,1.02242,1.05979,0.001901,0.001901,0.001901
6,190.863,1.06639,0.96614,0.72542,0.90662,0.64036,0.55113,0.56609,0.33534,0.66296,0.55556,0.58251,0.27596,1.27881,1.03669,1.06806,1.0471,0.00187625,0.00187625,0.00187625
7,220.522,1.08035,0.97824,0.73048,0.91088,0.64574,0.56882,0.58059,0.35365,0.66435,0.56403,0.59209,0.27952,1.22248,0.97553,0.99373,1.03112,0.0018515,0.0018515,0.0018515
8,250.067,1.07209,0.97749,0.72411,0.91007,0.65811,0.56587,0.59136,0.36317,0.66377,0.5773,0.60535,0.28714,1.25068,0.95575,1.02647,1.04743,0.00182675,0.00182675,0.00182675
9,279.709,1.05439,0.96145,0.7126,0.90326,0.6531,0.54708,0.56972,0.34102,0.66697,0.54985,0.58219,0.27164,1.25374,0.98333,1.0324,1.04673,0.001802,0.001802,0.001802
10,309.406,1.06442,0.97596,0.71871,0.90593,0.65037,0.58154,0.59241,0.36104,0.65963,0.58467,0.60497,0.28866,1.2461,0.96343,1.02222,1.05294,0.00177725,0.00177725,0.00177725
11,339.064,1.06042,0.95941,0.71331,0.90661,0.65767,0.57324,0.59108,0.35729,0.66332,0.57067,0.59524,0.27262,1.26684,0.94983,1.03126,1.05448,0.0017525,0.0017525,0.0017525
12,368.75,1.04598,0.96043,0.70821,0.90054,0.67289,0.55796,0.59168,0.36213,0.69186,0.55648,0.60192,0.29263,1.27009,0.96153,1.01229,1.05323,0.00172775,0.00172775,0.00172775
13,398.501,1.05143,0.96107,0.70554,0.90012,0.67451,0.55537,0.58894,0.36005,0.68162,0.55832,0.60001,0.28917,1.2571,0.96274,1.02608,1.03316,0.001703,0.001703,0.001703
14,428.019,1.03726,0.95756,0.69738,0.90064,0.66013,0.55887,0.59246,0.36429,0.68614,0.55026,0.60585,0.29104,1.23139,0.95895,1.04795,1.04006,0.00167825,0.00167825,0.00167825
15,457.612,1.03802,0.95972,0.6986,0.89928,0.66557,0.58639,0.60972,0.3741,0.67095,0.59628,0.62637,0.30554,1.22873,0.9531,1.0092,1.0366,0.0016535,0.0016535,0.0016535
16,487.704,1.0274,0.94449,0.68949,0.89741,0.67963,0.56477,0.60183,0.37417,0.69751,0.56716,0.61696,0.30538,1.21313,0.93346,0.99266,1.04014,0.00162875,0.00162875,0.00162875
17,517.234,1.0224,0.94771,0.68398,0.89522,0.65488,0.58909,0.59883,0.36808,0.66758,0.60052,0.61825,0.29685,1.22676,0.94308,0.98101,1.03579,0.001604,0.001604,0.001604
18,546.593,1.02133,0.9509,0.68545,0.89781,0.68145,0.53916,0.58076,0.34865,0.67977,0.53694,0.58242,0.2693,1.28174,0.99675,1.01027,1.07036,0.00157925,0.00157925,0.00157925
19,576.212,1.01887,0.95098,0.67579,0.89246,0.68243,0.56348,0.59124,0.36054,0.68166,0.55685,0.59259,0.27656,1.24307,0.96991,1.04739,1.05103,0.0015545,0.0015545,0.0015545
20,606.148,1.00701,0.94062,0.67272,0.89219,0.65313,0.58218,0.60459,0.37348,0.66228,0.57564,0.60798,0.28333,1.23085,0.97591,0.98818,1.04916,0.00152975,0.00152975,0.00152975
21,635.772,0.99698,0.92833,0.6616,0.88888,0.68809,0.5573,0.59733,0.36757,0.69721,0.56016,0.61417,0.28698,1.24194,0.97184,0.98707,1.04079,0.001505,0.001505,0.001505
22,665.505,1.00411,0.93618,0.66657,0.89019,0.68959,0.56818,0.60313,0.36776,0.68663,0.56458,0.60378,0.28252,1.23077,0.96698,0.99442,1.0351,0.00148025,0.00148025,0.00148025
